,,,,,,,,,,,,,,,,,,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Shot Data,Shot Data,Shot Data,Shot Data,Shot Data
23,Edmonton Oilers,26.8,82,36,40,6,78,0.476,234,263,5,1,-0.32,0.03,6.06,187,200,31,210,14.76,57,245,76.73,11,5,9.2,7.6,2740,8.4,2634,0.901,99.4
24,New York Rangers,28.7,82,34,39,9,77,0.47,231,268,3,5,-0.46,-0.01,6.09,172,212,51,241,21.16,46,247,81.38,5,5,8,8,2538,9,2898,0.909,99.8
25,Chicago Blackhawks,28,82,33,39,10,76,0.463,229,256,1,2,-0.26,0.07,5.91,180,198,43,269,15.99,49,236,79.24,5,7,7.5,8.9,2793,8.2,2697,0.906,99.1
26,Vancouver Canucks,28.2,82,31,40,11,73,0.445,218,264,0,5,-0.51,0.05,5.88,158,189,53,247,21.46,60,276,78.26,7,10,8.7,8,2464,8.8,2641,0.902,99.4
27,Detroit Red Wings,30.2,82,30,39,13,73,0.445,217,255,5,1,-0.48,-0.01,5.76,162,191,41,234,17.52,58,259,77.61,9,5,8.9,8.3,2490,8.5,2613,0.903,99.5
28,Montreal Canadiens,27.8,82,29,40,13,71,0.433,209,264,2,6,-0.68,0,5.77,148,184,52,244,21.31,68,263,74.14,7,6,8.6,8.8,2687,7.7,2650,0.903,98.7
29,Arizona Coyotes,26.5,82,29,41,12,70,0.427,208,256,2,5,-0.53,0.05,5.66,163,195,41,243,16.87,46,224,79.46,2,10,7.8,8.3,2450,8.4,2642,0.905,99.5
30,Ottawa Senators,29.3,82,28,43,11,67,0.409,221,291,2,7,-0.85,0,6.24,174,222,41,248,16.53,56,235,76.17,4,6,8.1,8.4,2515,8.7,2712,0.895,98.8
31,Buffalo Sabres,27.1,82,25,45,12,62,0.378,199,280,1,2,-0.98,0.01,5.84,140,216,49,257,19.07,52,235,77.87,9,10,8.2,8.8,2557,7.7,2681,0.896,98
,League Average,28,82,41,31,10,92,0.558,244,244,,,0,0,5.94,,,50,250,20.18,50,250,79.82,7,7,8.7,8.7,2636,9.2,2638,0.908,
